Customer Number,Customer Name,Street Address,Address (Line 2),Address (Line 3),City/County,Post Code,Country,Phone Number,Fax Number
C-ABO1,Andriy Boyechko,"74-A Proskurivska Street,",,,Khmelnytsky,29000,Ukraine,,
C-ADV1,Advanced Silicone Coating,Zi Du Mariage,38 Rue Des Bruyers,,69330 Pusignan,,France,0033 161 34 23 23,
C-AMD1,AmDel Medical,123a Allerton Road,Mossley Hill,,Liverpool,L18 2DD,United Kingdom,01517 331900,
C-ARV1,Arvensis Limited,"Suite 8, Astra House,",The common,Cranleigh,Surrey,GU6 8RZ,United Kingdom,07798640184,
C-ASP1,A.S. Prodotti chimici srl,Antonio Serio Prodotti Chimici SRL,VIA Germania 31 Zona Industriale,,San Donaci (Brindisi),72025,Italy,00390831635613,
C-AVE1,Avery Dennison Belgie BVBA,PA Avery Dennison Europe SSC,"Attn: Accounts Payable (STD-E),  Building 5100",Cork Airport Business Park,"Cork Airport Business Park, COR",,Ireland,00353 212 301417,+353 (1) 6426514
C-AVE2,Avery Dennison Medical Ltd,"Building 2, IDA Business Park",Ballinalee Road,,Londford,N39 DX73,Ireland,00353 43 3349586,
C-BBR1,B. Braun Medical S.A.S,Rue Armengaud 26,92210 Saint-Cloud,,,,France,,
C-BDK1,BDK Adhesive Technology Solutions,Levington Park,Bridge Road,Levington,"Ipswich, Suffolk",IP10 0JE,United Kingdom,01473 659059,
C-CAL1,Calla Lily Personal Care Ltd,10 Rose & Crown Yard,King Street,,London,SW1Y 6RE,United Kingdom,02078798717,
C-CAP1,Capital Innovation,1 Place du 8 Mai,,,Cairon,14610,France,0033231083250,
C-CDC1,CDC Nephro Devices,"CDC Nephro Devices, SL",Ronda Narcìso Monturiol No. 21 - 5C,"B98779903, Parque Tecnológico - Paterna",Valencia,46980,Spain,+34 900 831 654,
C-CLE1,Clear Surgical Ltd,Glenbervie Business Centre,Ramoyle House,Glenbervie Business Park,Labert,FK5 4RB,United Kingdom,01324 466887,
C-CLI1,CliniMed Ltd,Cavall House,"Knaves Beech Way, Loudwater",,"High Wycombe, BKM",HP10 9QY,United Kingdom,01628 850100,
C-COL1,Coloplast A/S,Holtedam 1,3050 Humlebæk,,,,Denmark,0045 4911 1111,
C-CON1,ConvaTec Limited UK,PO Box 228,,,"Deeside, FLI",CH5 9EH,United Kingdom,01244 584123,
